scan_id,file_name,relative_path,parent_folder,suffix,num_dimensions,shape,shape_x,shape_y,shape_z,spacing,spacing_x,spacing_y,spacing_z,fov_x_mm,fov_y_mm,fov_z_mm,num_voxels,dtype,min_intensity,max_intensity,mean_intensity,std_intensity,median_intensity,p01_intensity,p05_intensity,p95_intensity,p99_intensity,nonzero_fraction,error
001_001-0,001_001-0.nii.gz,001_001-0.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304210424423218, 3.0)",1.6304399967193604,1.6304210424423218,3.0,450.00143909454346,449.9962077140808,240.0,6094080,float64,0.0,919.0,83.06932067871094,122.47167205810547,12.0,0.0,0.0,366.0,479.0,0.8223082073093888,
001_001-1,001_001-1.nii.gz,001_001-1.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304399967193604, 3.0)",1.6304399967193604,1.6304399967193604,3.0,450.00143909454346,450.00143909454346,240.0,6094080,float64,0.0,713.0,68.0224609375,101.17938995361328,11.0,0.0,0.0,304.0,405.0,0.8245756537492124,
001_001-2,001_001-2.nii.gz,001_001-2.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304399967193604, 3.0)",1.6304399967193604,1.6304399967193604,3.0,450.00143909454346,450.00143909454346,240.0,6094080,float64,0.0,866.0,63.70603942871094,96.71536254882812,11.0,0.0,0.0,280.0,406.0,0.8281026832598194,
001_001-3,001_001-3.nii.gz,001_001-3.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304210424423218, 1.6304210424423218, 3.0)",1.6304210424423218,1.6304210424423218,3.0,449.9962077140808,449.9962077140808,240.0,6094080,float64,0.0,875.0,64.0633544921875,96.67266845703125,10.0,0.0,0.0,281.0,394.0,0.8216843231463978,
001_001-4,001_001-4.nii.gz,001_001-4.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304399967193604, 3.0)",1.6304399967193604,1.6304399967193604,3.0,450.00143909454346,450.00143909454346,240.0,6094080,float64,0.0,910.0,67.4415054321289,104.42056274414062,10.0,0.0,0.0,305.0,430.0,0.8285173479836169,
001_001-5,001_001-5.nii.gz,001_001-5.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304399967193604, 3.0)",1.6304399967193604,1.6304399967193604,3.0,450.00143909454346,450.00143909454346,240.0,6094080,float64,0.0,732.0,61.297691345214844,93.32965087890625,11.0,0.0,0.0,271.0,389.0,0.8196595712560386,
002_002-0,002_002-0.nii.gz,002_002-0.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304399967193604, 3.0)",1.6304399967193604,1.6304399967193604,3.0,450.00143909454346,450.00143909454346,240.0,6094080,float64,0.0,842.0,64.5173110961914,110.97391510009766,7.0,0.0,0.0,339.0,457.0,0.7981600175908422,
002_002-1,002_002-1.nii.gz,002_002-1.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304399967193604, 3.0)",1.6304399967193604,1.6304399967193604,3.0,450.00143909454346,450.00143909454346,240.0,6094080,float64,0.0,1746.0,85.94410705566406,150.30348205566406,12.0,0.0,0.0,450.0,668.0,0.8378293360113421,
002_002-2,002_002-2.nii.gz,002_002-2.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304210424423218, 3.0)",1.6304399967193604,1.6304210424423218,3.0,450.00143909454346,449.9962077140808,240.0,6094080,float64,0.0,1053.0,68.34661102294922,117.3389663696289,6.0,0.0,0.0,352.0,478.0,0.8051840474690191,
002_002-3,002_002-3.nii.gz,002_002-3.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304399967193604, 3.0)",1.6304399967193604,1.6304399967193604,3.0,450.00143909454346,450.00143909454346,240.0,6094080,float64,0.0,1016.0,61.88589096069336,105.01976013183594,7.0,0.0,0.0,318.0,431.0,0.7979617924280613,
002_002-4,002_002-4.nii.gz,002_002-4.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304399967193604, 3.0)",1.6304399967193604,1.6304399967193604,3.0,450.00143909454346,450.00143909454346,240.0,6094080,float64,0.0,973.0,61.047725677490234,106.07623291015625,6.0,0.0,0.0,318.0,439.0,0.7976943197332493,
003_003-0,003_003-0.nii.gz,003_003-0.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304399967193604, 3.0)",1.6304399967193604,1.6304399967193604,3.0,450.00143909454346,450.00143909454346,240.0,6094080,float64,0.0,545.0,25.111400604248047,42.97883987426758,3.0,0.0,0.0,117.0,177.0,0.6850405639571518,
003_003-1,003_003-1.nii.gz,003_003-1.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304399967193604, 3.0)",1.6304399967193604,1.6304399967193604,3.0,450.00143909454346,450.00143909454346,240.0,6094080,float64,0.0,1246.0,29.086877822875977,50.04610061645508,3.0,0.0,0.0,136.0,205.0,0.7270131012392355,
003_003-2,003_003-2.nii.gz,003_003-2.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304399967193604, 3.0)",1.6304399967193604,1.6304399967193604,3.0,450.00143909454346,450.00143909454346,240.0,6094080,float64,0.0,1263.0,34.6235237121582,61.75444412231445,4.0,0.0,0.0,175.0,259.0,0.7610599138836379,
003_003-3,003_003-3.nii.gz,003_003-3.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304399967193604, 3.0)",1.6304399967193604,1.6304399967193604,3.0,450.00143909454346,450.00143909454346,240.0,6094080,float64,0.0,875.0,21.33715057373047,37.143245697021484,3.0,0.0,0.0,103.0,157.0,0.7023906807918504,
003_003-4,003_003-4.nii.gz,003_003-4.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304399967193604, 3.0)",1.6304399967193604,1.6304399967193604,3.0,450.00143909454346,450.00143909454346,240.0,6094080,float64,0.0,3129.0,30.13104820251465,54.049625396728516,4.0,0.0,0.0,151.0,228.0,0.7412347721067003,
003_003-5,003_003-5.nii.gz,003_003-5.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304399967193604, 3.0)",1.6304399967193604,1.6304399967193604,3.0,450.00143909454346,450.00143909454346,240.0,6094080,float64,0.0,1009.0,21.043170928955078,38.813377380371094,2.0,0.0,0.0,109.0,165.0,0.7029287439613526,
004_004-0,004_004-0.nii.gz,004_004-0.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304399967193604, 3.0)",1.6304399967193604,1.6304399967193604,3.0,450.00143909454346,450.00143909454346,240.0,6094080,float64,0.0,661.0,42.528350830078125,78.72868347167969,5.0,0.0,0.0,221.0,351.0,0.788036586326402,
004_004-1,004_004-1.nii.gz,004_004-1.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304210424423218, 1.6304399967193604, 3.0)",1.6304210424423218,1.6304399967193604,3.0,449.9962077140808,450.00143909454346,240.0,6094080,float64,0.0,505.0,38.74862289428711,72.81879425048828,4.0,0.0,0.0,205.0,322.0,0.7708571269166141,
004_004-2,004_004-2.nii.gz,004_004-2.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304210424423218, 1.6304210424423218, 3.0)",1.6304210424423218,1.6304210424423218,3.0,449.9962077140808,449.9962077140808,240.0,6094080,float64,0.0,577.0,39.04435348510742,73.34497833251953,4.0,0.0,0.0,204.0,329.0,0.7667825168031926,
004_004-3,004_004-3.nii.gz,004_004-3.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304399967193604, 3.0)",1.6304399967193604,1.6304399967193604,3.0,450.00143909454346,450.00143909454346,240.0,6094080,float64,0.0,512.0,38.262550354003906,71.36705780029297,4.0,0.0,0.0,202.0,313.0,0.7563948947174963,
004_004-4,004_004-4.nii.gz,004_004-4.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304399967193604, 3.0)",1.6304399967193604,1.6304399967193604,3.0,450.00143909454346,450.00143909454346,240.0,6094080,float64,0.0,469.0,33.170291900634766,63.40520095825195,4.0,0.0,0.0,178.0,284.0,0.760944884215501,
004_004-5,004_004-5.nii.gz,004_004-5.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304399967193604, 3.0)",1.6304399967193604,1.6304399967193604,3.0,450.00143909454346,450.00143909454346,240.0,6094080,float64,0.0,499.0,36.57221984863281,69.67603302001953,4.0,0.0,0.0,196.0,312.0,0.7605095436883008,
005_005-0,005_005-0.nii.gz,005_005-0.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304399967193604, 3.0)",1.6304399967193604,1.6304399967193604,3.0,450.00143909454346,450.00143909454346,240.0,6094080,float64,0.0,3276.0,77.56694793701172,102.95842742919922,17.0,0.0,0.0,289.0,366.0,0.8141256760659525,
005_005-1,005_005-1.nii.gz,005_005-1.nii.gz,Training-nifti,.nii.gz,3,"(276, 276, 80)",276,276,80,"(1.6304399967193604, 1.6304399967193604, 3.0)",1.6304399967193604,1.6304399967193604,3.0,450.00143909454346,450.00143909454346,240.0,6094080,float64,0.0,1898.0,71.7060546875,94.35748291015625,14.0,0.0,0.0,275.0,337.0,0.8101129292690611,
